lead_created_pst,campaign_name,ad_group,cost,expected_revenue,clicks,conversions,contact_rate,referral_rate,ref_ms _rate
5/30/24,Campaign ABC,AG 54,224.7758,0,57,2,0,0,
5/30/24,Campaign ABC,AG 55,1209.778438,192.32,309,23,0.444444444,0.185185185,0.2
5/30/24,Campaign ABC,AG 57,34.75,0,6,0,,,
5/30/24,Campaign ABC,AG 59,0,0,0,0,,,
5/30/24,Campaign ABC,AG 60,13,0,6,0,,,
5/30/24,Campaign ABC,AG 61,40.38,0,7,0,,,
5/30/24,Campaign ABC,AG 64,14.82,0,2,0,,,
5/30/24,Campaign ABC,AG 65,37.27,0,4,0,,,
5/30/24,Campaign ABC,AG 66,13.77,171.77,3,2,0.5,0.5,0
5/30/24,Campaign ABC,AG 67,138.69,0,24,2,0.333333333,0,
5/30/24,Campaign ABC,AG 71,4.93,0,2,0,,,
5/29/24,Campaign ABC,AG 1,0,0,0,0,,,
5/29/24,Campaign ABC,AG2,0,0,0,0,,,
5/29/24,Campaign ABC,AG 4,19.08,0,4,0,,,
5/29/24,Campaign ABC,AG 5,0,0,0,0,,,
5/29/24,Campaign ABC,AG 6,38.8,13.82,7,2,0,0.5,0
5/29/24,Campaign ABC,AG 7,3.08,0,1,0,,,
5/29/24,Campaign ABC,AG 8,16.02,0,4,0,,,
5/29/24,Campaign ABC,AG 9,1.4,0,1,0,,,
5/29/24,Campaign ABC,AG 10,6.32,0,1,0,,,
5/29/24,Campaign ABC,AG 11,8.56,0,5,0,,,
5/29/24,Campaign ABC,AG 12,39.3,0,12,0,,,
5/29/24,Campaign ABC,AG 13,31.99,0,12,0,,,
5/29/24,Campaign ABC,AG 14,3.82,0,3,1,1,0,
5/29/24,Campaign ABC,AG 15,24.86,152.56,5,2,0,0.5,1
5/29/24,Campaign ABC,AG 16,14.27,0,3,0,,,
5/29/24,Campaign ABC,AG 17,50.22,0,15,3,0.666666667,0.333333333,0
5/29/24,Campaign ABC,AG 19,0,0,0,0,,,
5/29/24,Campaign ABC,AG 20,17.67,0,3,0,,,
5/29/24,Campaign ABC,AG 21,313.74,142.71,45,3,0,0.25,1
5/29/24,Campaign ABC,AG 22,48.96,8.77,6,2,0.5,0.5,0
5/29/24,Campaign ABC,AG 23,40.93,324.37,14,1,0.75,0.75,0
5/29/24,Campaign ABC,AG 24,4.9,0,4,0,,,
5/29/24,Campaign ABC,AG 25,184.13,0,23,9,0.25,0.25,0
5/29/24,Campaign ABC,AG 27,1294.423868,3237.55,201,27,0.625,0.46875,0.466666667
5/29/24,Campaign ABC,AG 28,71.18,0,19,1,,,
5/29/24,Campaign ABC,AG 30,43.44,0,10,0,0,0,
5/29/24,Campaign ABC,AG 33,6.77,0,2,0,,,
5/29/24,Campaign ABC,AG 34,537.981901,1041.41,123,8,0.615384615,0.769230769,0.4
5/29/24,Campaign ABC,AG 35,238.5,0,69,1,0.4,0,
5/29/24,Campaign ABC,AG 36,234.45,335.18,44,5,0.142857143,0.428571429,0.666666667
5/29/24,Campaign ABC,AG 37,0,0,0,0,,,
5/29/24,Campaign ABC,AG 38,0,0,0,0,,,
5/29/24,Campaign ABC,AG 39,0,0,0,0,,,
5/29/24,Campaign ABC,AG 41,0,0,0,0,,,
5/29/24,Campaign ABC,AG 42,0,0,0,0,,,
5/29/24,Campaign ABC,AG 43,218.16,82.62,115,4,0.571428571,0.428571429,0
5/29/24,Campaign ABC,AG 44,30.99,0,10,1,0,0,
5/29/24,Campaign ABC,AG 45,38.27,0,8,0,,,
5/29/24,Campaign ABC,AG 46,71.65,1295.13,14,4,0.5,0.75,0.333333333
5/29/24,Campaign ABC,AG 47,2597.159922,935.86,1275,54,0.460674157,0.425842697,0.103448276
5/29/24,Campaign ABC,AG 48,28.48,0,7,0,,,
5/29/24,Campaign ABC,AG 50,12.94,0,2,0,,,
5/29/24,Campaign ABC,AG 51,0.95,0,1,0,,,
5/29/24,Campaign ABC,AG 52,202.91,28.67,53,1,1,0.666666667,0
5/29/24,Campaign ABC,AG 54,232.57,217.52,53,4,0.625,0.75,0
5/29/24,Campaign ABC,AG 55,1478.290249,741.99,373,24,0.46875,0.4375,0.285714286
5/29/24,Campaign ABC,AG 57,12.17,108.51,2,1,1,1,1
5/29/24,Campaign ABC,AG 59,0,0,0,0,,,
5/29/24,Campaign ABC,AG 60,0,0,0,0,,,
5/29/24,Campaign ABC,AG 61,8.301144,0,3,0,,,
5/29/24,Campaign ABC,AG 64,25.93,0,5,0,,,
5/29/24,Campaign ABC,AG 65,11.27,0,2,0,,,
5/29/24,Campaign ABC,AG 66,12.55,0,2,0,,,
5/29/24,Campaign ABC,AG 67,258.05957,58.69,38,3,0.75,1,0
5/29/24,Campaign ABC,AG 71,15.95,0,2,1,0,0,
5/29/24,Campaign ABC,AG 73,0,0,0,0,,,
5/28/24,Campaign ABC,AG 1,0,0,0,0,,,
5/28/24,Campaign ABC,AG2,0,0,0,0,,,
5/28/24,Campaign ABC,AG 3,0,0,0,0,,,
5/28/24,Campaign ABC,AG 4,30.76,0,4,0,,,
5/28/24,Campaign ABC,AG 5,0,0,0,0,,,
5/28/24,Campaign ABC,AG 6,13.74,0,4,0,,,
5/28/24,Campaign ABC,AG 7,13.28,0,3,0,,,
5/28/24,Campaign ABC,AG 8,26.9,0,4,0,,,
5/28/24,Campaign ABC,AG 9,5.11,0,2,0,,,
5/28/24,Campaign ABC,AG 10,49.35,0,8,1,0,0,
5/28/24,Campaign ABC,AG 11,22.9,0,10,0,,,
5/28/24,Campaign ABC,AG 12,33.19,0,7,1,,,
5/28/24,Campaign ABC,AG 13,36.61,0,15,0,,,
5/28/24,Campaign ABC,AG 14,22.05,3.64,14,0,0,1,0
5/28/24,Campaign ABC,AG 15,10.1,0,3,0,,,
5/28/24,Campaign ABC,AG 16,70.27,16.22,11,1,0,1,1
5/28/24,Campaign ABC,AG 17,58.21,0,14,2,0,0,
5/28/24,Campaign ABC,AG 19,1.49,0,1,0,,,
5/28/24,Campaign ABC,AG 20,1.94,0,1,0,,,
5/28/24,Campaign ABC,AG 21,344.834306,4.38,48,3,0,0.25,0
5/28/24,Campaign ABC,AG 22,42.31,0,6,1,1,1,0
5/28/24,Campaign ABC,AG 23,52.57,0,20,0,0,0,
5/28/24,Campaign ABC,AG 24,8.49,0,4,0,,,
5/28/24,Campaign ABC,AG 25,119.7,0,15,3,0.666666667,0,
5/28/24,Campaign ABC,AG 26,0,0,0,0,,,
5/28/24,Campaign ABC,AG 27,1462.566917,3017.35,225,27,0.647058824,0.617647059,0.285714286
5/28/24,Campaign ABC,AG 28,75.05,0,20,0,,,
5/28/24,Campaign ABC,AG 30,38.56,0,11,0,,,
5/28/24,Campaign ABC,AG 32,25.81,0,4,1,1,0,
5/28/24,Campaign ABC,AG 33,1.63,0,1,0,,,
5/28/24,Campaign ABC,AG 34,584.09,121.01,118,7,0.625,0.375,0
5/28/24,Campaign ABC,AG 35,303.73,11.49,83,3,0.4,0.2,0
5/28/24,Campaign ABC,AG 36,184.15,0,40,1,0,0,
5/28/24,Campaign ABC,AG 37,2.63,0,2,0,,,
5/28/24,Campaign ABC,AG 38,0,0,0,0,,,
5/28/24,Campaign ABC,AG 41,0,0,0,0,,,
5/28/24,Campaign ABC,AG 42,17.17,78.96,4,1,1,1,0
5/28/24,Campaign ABC,AG 43,323.47,13.24,146,2,0,0.2,0
5/28/24,Campaign ABC,AG 44,33.44,0,13,0,,,
5/28/24,Campaign ABC,AG 45,23.39,0,9,0,,,
5/28/24,Campaign ABC,AG 46,43.03,0,9,1,1,0,
5/28/24,Campaign ABC,AG 47,2782.180468,1782.8,1401,45,0.443181818,0.272727273,0.291666667
5/28/24,Campaign ABC,AG 48,30.46,80.11,9,1,1,1,0
5/28/24,Campaign ABC,AG 50,0,0,0,0,,,
5/28/24,Campaign ABC,AG 52,229.190882,735.25,57,8,0.625,0.5,0.5
5/28/24,Campaign ABC,AG 53,3.4,115.09,2,1,1,1,0
5/28/24,Campaign ABC,AG 54,217.66,170.24,52,7,0.222222222,0.333333333,1
5/28/24,Campaign ABC,AG 55,1294.791075,214.2,355,17,0.52,0.36,0
5/28/24,Campaign ABC,AG 56,5.16,0,1,0,,,
5/28/24,Campaign ABC,AG 57,2.34,0,1,0,,,
5/28/24,Campaign ABC,AG 58,2.29,0,1,0,,,
5/28/24,Campaign ABC,AG 59,0,0,0,0,,,
5/28/24,Campaign ABC,AG 60,1.25,0,1,0,,,
5/28/24,Campaign ABC,AG 61,58.3,0,9,0,,,
5/28/24,Campaign ABC,AG 64,41.3,0,7,0,,,
5/28/24,Campaign ABC,AG 65,0,0,0,0,,,
5/28/24,Campaign ABC,AG 66,11.66,0,3,0,,,
5/28/24,Campaign ABC,AG 67,287.767705,131.73,41,5,0.833333333,0.5,0
5/28/24,Campaign ABC,AG 71,13.52,0,2,0,,,
5/28/24,Campaign ABC,AG 73,0,0,0,0,,,
5/27/24,Campaign ABC,AG 1,0,0,0,0,,,
5/27/24,Campaign ABC,AG2,0,0,0,0,,,
5/27/24,Campaign ABC,AG 3,0,0,0,0,,,
5/27/24,Campaign ABC,AG 4,20.23,0,3,0,,,
5/27/24,Campaign ABC,AG 5,0,0,0,0,,,
5/27/24,Campaign ABC,AG 6,0,0,0,0,,,
5/27/24,Campaign ABC,AG 7,0,0,0,0,,,
5/27/24,Campaign ABC,AG 8,15.53,0,4,0,,,
5/27/24,Campaign ABC,AG 9,0,0,0,0,,,
5/27/24,Campaign ABC,AG 10,19.05,0,5,0,0,0,
5/27/24,Campaign ABC,AG 11,2.39,0,1,0,,,
5/27/24,Campaign ABC,AG 12,57.31,0,16,0,,,
5/27/24,Campaign ABC,AG 13,22.55,0,9,1,0,0,
5/27/24,Campaign ABC,AG 14,16.09,0,8,0,,,
5/27/24,Campaign ABC,AG 15,9.82,0,3,0,,,
5/27/24,Campaign ABC,AG 16,16.96,0,3,1,,,
5/27/24,Campaign ABC,AG 17,25.94,0,9,1,0.5,0,
5/27/24,Campaign ABC,AG 19,0,0,0,0,,,
5/27/24,Campaign ABC,AG 20,19.07,0,2,0,,,
5/27/24,Campaign ABC,AG 21,146.65,0,22,3,0.333333333,0,
5/27/24,Campaign ABC,AG 22,5.63,0,2,0,,,
5/27/24,Campaign ABC,AG 23,24.14,0,8,1,1,0,
5/27/24,Campaign ABC,AG 24,3.09,0,1,0,,,
5/27/24,Campaign ABC,AG 25,88.44,0,11,2,0.25,0,
5/27/24,Campaign ABC,AG 27,1072.688419,414.97,181,22,0.586206897,0.517241379,0.066666667
5/27/24,Campaign ABC,AG 28,42.73,0,14,0,,,
5/27/24,Campaign ABC,AG 30,22.12,0,5,0,,,
5/27/24,Campaign ABC,AG 32,0,0,0,0,,,
5/27/24,Campaign ABC,AG 33,0,0,0,0,,,
5/27/24,Campaign ABC,AG 34,463.189556,35.93,120,3,0.444444444,0.111111111,0
5/27/24,Campaign ABC,AG 35,191.01,686.95,57,4,0.5,0.5,0.5
5/27/24,Campaign ABC,AG 36,231.571471,634.58,53,4,0.75,0.5,1
5/27/24,Campaign ABC,AG 37,6.84,0,1,0,,,
5/27/24,Campaign ABC,AG 38,0,0,0,0,,,
5/27/24,Campaign ABC,AG 42,13.72,0,4,0,,,
5/27/24,Campaign ABC,AG 43,206.8,0,120,0,0,0,
5/27/24,Campaign ABC,AG 44,61.83,0,15,1,0,1,0
5/27/24,Campaign ABC,AG 45,7.66,0,3,0,,,
5/27/24,Campaign ABC,AG 46,57.48,0,11,0,,,
5/27/24,Campaign ABC,AG 47,2438.317793,397.15,1280,31,0.407894737,0.484210526,0.071428571
5/27/24,Campaign ABC,AG 48,13.91,0,3,0,,,
5/27/24,Campaign ABC,AG 49,0,0,0,0,,,
5/27/24,Campaign ABC,AG 50,12.65,0,2,0,,,
5/27/24,Campaign ABC,AG 51,0,0,0,0,,,
5/27/24,Campaign ABC,AG 52,131.71,163.46,46,3,1,0.666666667,0
5/27/24,Campaign ABC,AG 53,2.11,0,1,0,,,
5/27/24,Campaign ABC,AG 54,196.814608,150.07,47,9,0.666666667,0.444444444,0.25
5/27/24,Campaign ABC,AG 55,1104.413361,341.2,347,16,0.423076923,0.269230769,0.142857143
5/27/24,Campaign ABC,AG 56,0,0,0,0,,,
5/27/24,Campaign ABC,AG 57,4.32,0,1,0,,,
5/27/24,Campaign ABC,AG 58,0,0,0,0,,,
5/27/24,Campaign ABC,AG 60,0,0,0,0,,,
5/27/24,Campaign ABC,AG 61,56.35,289.49,10,1,1,1,1
5/27/24,Campaign ABC,AG 64,11.41,0,3,0,,,
5/27/24,Campaign ABC,AG 65,12.856163,0,2,0,,,
5/27/24,Campaign ABC,AG 66,0.99,0,1,0,,,
5/27/24,Campaign ABC,AG 67,141.45,3200.75,22,3,0.75,0.75,0.333333333
5/27/24,Campaign ABC,AG 70,0,0,0,0,,,
5/27/24,Campaign ABC,AG 71,16.76,0,3,0,,,
5/26/24,Campaign ABC,AG 1,0,0,0,0,,,
5/26/24,Campaign ABC,AG2,0,0,0,0,,,
5/26/24,Campaign ABC,AG 3,1.31,0,1,0,,,
5/26/24,Campaign ABC,AG 4,5.56,0,1,0,,,
5/26/24,Campaign ABC,AG 5,5.4,0,1,0,,,
5/26/24,Campaign ABC,AG 6,5.93,0,2,0,,,
5/26/24,Campaign ABC,AG 7,0,0,0,0,,,
5/26/24,Campaign ABC,AG 8,3.58,0,1,0,,,
5/26/24,Campaign ABC,AG 9,8.56939,5.05,2,1,0,1,0
5/26/24,Campaign ABC,AG 10,13.51,0,2,0,,,
5/26/24,Campaign ABC,AG 11,4.96,0,2,0,,,
5/26/24,Campaign ABC,AG 12,34.71,0,10,1,0.25,0.25,0
5/26/24,Campaign ABC,AG 13,23.07,0,13,0,,,
5/26/24,Campaign ABC,AG 14,9.77,0,8,0,,,
5/26/24,Campaign ABC,AG 15,6.23,0,4,0,,,
5/26/24,Campaign ABC,AG 16,5.61,6.46,2,1,0,1,0
5/26/24,Campaign ABC,AG 17,42.94,0,13,0,1,0,
5/26/24,Campaign ABC,AG 19,0,0,0,0,,,
5/26/24,Campaign ABC,AG 20,0,0,0,0,,,
5/26/24,Campaign ABC,AG 21,304.31,196.52,39,3,0,0.5,0.5
5/26/24,Campaign ABC,AG 22,14.98,0,2,0,,,
5/26/24,Campaign ABC,AG 23,27.47,0,6,1,1,1,1
5/26/24,Campaign ABC,AG 24,0.8,0,1,0,,,
5/26/24,Campaign ABC,AG 25,69.7,765,11,1,1,1,0.666666667
5/26/24,Campaign ABC,AG 27,1607.216095,1185.39,258,32,0.611111111,0.5,0.222222222
5/26/24,Campaign ABC,AG 28,95.59,30.4,46,1,1,1,0
5/26/24,Campaign ABC,AG 30,39.66,14.39,12,2,0.666666667,0.666666667,0
5/26/24,Campaign ABC,AG 33,15.72,0,5,0,,,
5/26/24,Campaign ABC,AG 34,580.973981,116.59,131,5,0.875,0.375,0
5/26/24,Campaign ABC,AG 35,172.133033,52.71,54,4,0.8,0.4,0
5/26/24,Campaign ABC,AG 36,146.28,105.03,34,1,1,1,0
5/26/24,Campaign ABC,AG 37,9.89,0,1,0,,,
5/26/24,Campaign ABC,AG 38,8.03,0,1,0,,,
5/26/24,Campaign ABC,AG 42,0,0,0,0,,,
5/26/24,Campaign ABC,AG 43,153.56,107.73,108,4,0.285714286,0.571428571,0.25
5/26/24,Campaign ABC,AG 44,43.86,0,13,1,0,0,
5/26/24,Campaign ABC,AG 45,6.54,0,3,0,,,
5/26/24,Campaign ABC,AG 46,27.53,0,5,0,,,
5/26/24,Campaign ABC,AG 47,2417.236055,701.7,1260,29,0.45,0.2875,0.086956522
5/26/24,Campaign ABC,AG 48,16.06,0,6,0,,,
5/26/24,Campaign ABC,AG 50,9.45,0,1,0,,,
5/26/24,Campaign ABC,AG 51,0,0,0,0,,,
5/26/24,Campaign ABC,AG 52,159.8,55.25,43,3,0.666666667,0.666666667,0
5/26/24,Campaign ABC,AG 53,0,0,0,0,,,
5/26/24,Campaign ABC,AG 54,167.56,0,41,2,0.75,0,
5/26/24,Campaign ABC,AG 55,1197.041606,1932.51,360,19,0.347826087,0.304347826,0.142857143
5/26/24,Campaign ABC,AG 56,0,0,0,0,,,
5/26/24,Campaign ABC,AG 57,10.99,0,2,0,,,
5/26/24,Campaign ABC,AG 59,0,0,0,0,,,
5/26/24,Campaign ABC,AG 60,2.51,0,1,0,,,
5/26/24,Campaign ABC,AG 61,32.323686,0,8,0,,,
5/26/24,Campaign ABC,AG 64,15.38,0,2,0,,,
5/26/24,Campaign ABC,AG 65,27.11,0,3,0,,,
5/26/24,Campaign ABC,AG 66,0,0,0,0,,,
5/26/24,Campaign ABC,AG 67,132.15,0,21,1,0,0,
5/26/24,Campaign ABC,AG 69,0,0,0,0,,,
5/26/24,Campaign ABC,AG 71,0,0,0,0,,,
5/25/24,Campaign ABC,AG 1,0,0,0,0,,,
5/25/24,Campaign ABC,AG2,0,0,0,0,,,
5/25/24,Campaign ABC,AG 3,6.52,0,1,0,,,
5/25/24,Campaign ABC,AG 4,22.21,0,3,0,,,
5/25/24,Campaign ABC,AG 5,0,0,0,0,,,
5/25/24,Campaign ABC,AG 6,0,0,0,0,,,
5/25/24,Campaign ABC,AG 7,0,0,0,0,,,
5/25/24,Campaign ABC,AG 8,10.22,0,3,0,,,
5/25/24,Campaign ABC,AG 9,0,0,0,0,,,
5/25/24,Campaign ABC,AG 10,35.34,0,9,1,1,1,1
5/25/24,Campaign ABC,AG 11,4.06,0,1,0,,,
5/25/24,Campaign ABC,AG 12,23.61,0,5,0,,,
5/25/24,Campaign ABC,AG 13,26.44,137.17,9,1,1,1,0
5/25/24,Campaign ABC,AG 14,20.32,0,8,0,,,
5/25/24,Campaign ABC,AG 15,21.37,0,4,1,,,
5/25/24,Campaign ABC,AG 16,14.21,0,2,0,,,
5/25/24,Campaign ABC,AG 17,32.54,0,12,0,,,
5/25/24,Campaign ABC,AG 19,0,0,0,0,,,
5/25/24,Campaign ABC,AG 20,6.72,0,1,0,,,
5/25/24,Campaign ABC,AG 21,262.85,302.81,38,6,0.833333333,0.833333333,0
5/25/24,Campaign ABC,AG 22,23.36,0,3,2,1,0,
5/25/24,Campaign ABC,AG 23,35.1,0,9,1,0,0,
5/25/24,Campaign ABC,AG 24,2.3,0,1,0,,,
5/25/24,Campaign ABC,AG 25,31.44,0,7,0,,,
5/25/24,Campaign ABC,AG 27,1415.809435,3287.43,234,26,0.483870968,0.516129032,0.125
5/25/24,Campaign ABC,AG 28,96.55,0,34,0,1,0,
5/25/24,Campaign ABC,AG 30,3.05,0,2,0,,,
5/25/24,Campaign ABC,AG 32,0,0,0,0,,,
5/25/24,Campaign ABC,AG 33,0,0,0,0,,,
5/25/24,Campaign ABC,AG 34,633.908621,0,134,4,0.333333333,0.111111111,0
5/25/24,Campaign ABC,AG 35,237.283107,19.53,68,3,0.2,0.6,0
5/25/24,Campaign ABC,AG 36,157.829926,0,32,0,,,
5/25/24,Campaign ABC,AG 37,3,0,1,0,,,
5/25/24,Campaign ABC,AG 38,0,0,0,0,,,
5/25/24,Campaign ABC,AG 42,4.15,0,1,0,,,
5/25/24,Campaign ABC,AG 43,203.67,22.81,108,3,0,0.5,0
5/25/24,Campaign ABC,AG 44,20.9,0,8,0,,,
5/25/24,Campaign ABC,AG 45,7.06,0,2,0,,,
5/25/24,Campaign ABC,AG 46,50.6,0,8,1,1,0,
5/25/24,Campaign ABC,AG 47,1983.411747,3102.25,972,35,0.5,0.35483871,0.181818182
5/25/24,Campaign ABC,AG 48,6.6,0,3,0,,,
5/25/24,Campaign ABC,AG 49,0,0,0,0,,,
5/25/24,Campaign ABC,AG 50,9.29,30.34,1,1,1,1,0
5/25/24,Campaign ABC,AG 52,111.96,0,33,2,0,0,
5/25/24,Campaign ABC,AG 53,0,0,0,0,,,
5/25/24,Campaign ABC,AG 54,114.731939,174.87,27,2,0.333333333,0.666666667,0
5/25/24,Campaign ABC,AG 55,950.021462,875.34,306,18,0.484848485,0.575757576,0.368421053
5/25/24,Campaign ABC,AG 56,0,0,0,0,,,
5/25/24,Campaign ABC,AG 57,0,0,0,0,,,
5/25/24,Campaign ABC,AG 60,0,0,0,0,,,
5/25/24,Campaign ABC,AG 61,49.5,0,9,2,1,0,
5/25/24,Campaign ABC,AG 64,7.25,0,2,0,,,
5/25/24,Campaign ABC,AG 65,9.8,0,1,0,,,
5/25/24,Campaign ABC,AG 66,1.56,0,1,0,,,
